Day,Publisher ID,Site ID,Section ID,Ads Requested,Ads Returned,CTR,Clicks,Conversions,Fill Rate,Impressions,Publisher Page Views,Publisher Revenue,Publisher Revenue USD,Publisher eCPM,Revenue,Revenue USD,Section Page Views,Video 100% Complete,Video 100% Rate,Video 25% Complete,Video 25% Rate,Video 50% Complete,Video 50% Rate,Video 75% Complete,Video 75% Rate,Video Start Rate,Video Starts,Video View Rate,Video Views,eCPM
2018-05-03,1511210,109220,5553189,155081990,3273147,0.0152284264,1587,0,0.0211059131,104213,0,0.0,0.0,0.0,52.46851,59.816376,15508199,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5034737509
2018-04-29,1511210,74610,5509146,154044020,82525,0.000461437,7,0,0.0005357235,15170,0,0.0,0.0,0.0,1.45589,1.068327,15404402,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0959716546
2018-04-30,1511210,81255,5523016,151104180,3212835,0.0111799949,1825,0,0.0212623833,163238,0,0.0,0.0,0.0,239.03171,326.800282,15110418,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.4643141303
2018-05-04,959242,11790,5552963,150028160,2324937,0.0001602269,318,0,0.0154966708,1984686,0,0.011505,0.011505,5.7969e-06,121.065404,121.065404,9376760,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0609997773
2018-05-01,1511210,81306,5523027,147646770,14081400,0.0189544416,6155,0,0.0953722184,324726,0,0.0,0.0,0.0,162.51354,202.05626,14764677,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5004635908
2018-04-27,1511210,85302,5529593,147444290,405084,0.0323360679,8652,0,0.0027473699,267565,0,0.0,0.0,0.0,171.0037,161.090838,14744429,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.6391108703
2018-04-29,1511210,81306,5523027,147421860,14126543,0.0199967655,10139,0,0.0958239368,507032,0,0.0,0.0,0.0,350.21433,429.771625,14742186,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.6907144519
2018-05-02,1511210,81306,5523027,146836550,13989602,0.0184846528,8157,0,0.0952732954,441285,0,0.0,0.0,0.0,287.28687,337.152269,14683655,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.6510234202
2018-04-30,1511210,81306,5523027,146216900,13688143,0.0196543063,8568,0,0.0936153276,435935,0,0.0,0.0,0.0,273.47257,346.600008,14621690,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.6273241882
2018-04-30,1511210,74610,5509146,146165830,191978,6.89893e-05,1,0,0.001313426,14495,0,0.0,0.0,0.0,1.34693,0.240795,14616583,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0929237668
2018-05-04,1511210,85804,5529841,144673370,121963,0.0039166385,162,0,0.0008430231,41362,0,0.0,0.0,0.0,8.85249,7.354346,14467337,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.2140247087
2018-05-03,1511210,81306,5523027,144289190,13697854,0.0184409166,4097,0,0.0949333349,222169,0,0.0,0.0,0.0,124.83024,153.465643,14428919,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.561870648
2018-05-02,1511210,74610,5509146,143969430,62997,0.0002681684,3,0,0.0004375721,11187,0,0.0,0.0,0.0,1.0738,0.837076,14396943,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0959864128
2018-04-27,1511210,81306,5523027,142276590,14127213,0.0193702092,8415,0,0.0992940089,434430,0,0.0,0.0,0.0,340.2603,437.158951,14227659,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7832338927
